PPID,VILLNAME,NEIGHBORHOODS
0445,正守里,"1-7鄰"
0446,正守里,"8-13鄰"
0447,正義里,"1,4,5,7鄰"
0448,正義里,"9,11,13,17鄰"
0449,正義里,"10,12,14,15,16鄰"
0450,正義里,"2,3,6,8鄰"
0451,正得里,"1-6鄰"
0452,正得里,"7-9,14-16鄰"
0453,正得里,"10-13鄰"
0454,民安里,"1-8鄰"
0455,民安里,"9-14鄰"
0456,民安里,"15-21鄰"
0457,康樂里,"1-6鄰"
0458,康樂里,"7-16鄰"
0459,中山里,"1-4,6-8鄰"
0460,中山里,"16-20鄰"
0461,中山里,"11-15鄰"
0462,中山里,"5,9-10鄰"
0463,中山里,"21-26鄰"
0464,聚盛里,"1-6鄰"
0465,聚盛里,"7-13鄰"
0466,聚盛里,"14-17鄰"
0467,集英里,"1-5鄰"
0468,集英里,"6-11鄰"
0469,集英里,"12-16鄰"
0470,集英里,"17-20,24鄰"
0471,集英里,"21-23鄰"
0472,聚葉里,"1-6鄰"
0473,聚葉里,"7-12鄰"
0474,聚葉里,"13-19鄰"
0475,恆安里,"1-4鄰"
0476,恆安里,"5-8鄰"
0477,恆安里,"9-12鄰"
0478,恆安里,"13-15鄰"
0479,晴光里,"1-3鄰"
0480,晴光里,"4-7鄰"
0481,晴光里,"8-11鄰"
0482,晴光里,"12-15鄰"
0483,圓山里,"1-4鄰"
0484,圓山里,"5-9鄰"
0485,圓山里,"10-15鄰"
0486,新庄里,"1-6鄰"
0487,新庄里,"7-14鄰"
0488,新庄里,"15-21鄰"
0489,劍潭里,"1-4,7,14-16,21-22鄰"
0490,劍潭里,"5-6,10-13鄰"
0491,劍潭里,"8-9,17-20鄰"
0492,大直里,"1-7鄰"
0493,大直里,"8-12鄰"
0494,大直里,"13-17鄰"
0495,大直里,"18-23鄰"
0496,大直里,"24-29鄰"
0497,大直里,"30-35鄰"
0498,成功里,"1-7鄰"
0499,成功里,"8-12鄰"
0500,成功里,"13-15鄰"
0501,成功里,"16-21鄰"
0502,永安里,"1-7鄰"
0503,永安里,"8-12,15鄰"
0504,永安里,"13-14,16-17鄰"
0505,永安里,"18-22鄰"
0506,永安里,"23-27,29鄰"
0507,永安里,"28,30-34鄰"
0508,金泰里,"1-3鄰"
0509,金泰里,"4-6鄰"
0510,金泰里,"14鄰"
0511,金泰里,"11-13鄰"
0512,金泰里,"7-10鄰"
0513,北安里,"1-6鄰"
0514,北安里,"7-12鄰"
0515,新喜里,"1-8鄰"
0516,新喜里,"9-14鄰"
0517,新喜里,"15-20鄰"
0518,新福里,"1-7鄰"
0519,新福里,"8-14鄰"
0520,新福里,"15-20鄰"
0521,松江里,"1-5鄰"
0522,松江里,"11-15鄰"
0523,松江里,"6-10,16鄰"
0524,松江里,"17-23鄰"
0525,新生里,"1-8鄰"
0526,新生里,"9-15鄰"
0527,新生里,"16-22鄰"
0528,中庄里,"1-8鄰"
0529,中庄里,"9-15鄰"
0530,中庄里,"16-21鄰"
0531,大佳里,"1-8鄰"
0532,行政里,"1-3,5鄰"
0533,行政里,"7-8,10-12,18鄰"
0534,行政里,"4,6,17,19鄰"
0535,行政里,"9,13-16鄰"
0536,行仁里,"1-6鄰"
0537,行仁里,"7-12鄰"
0538,行仁里,"13-18鄰"
0539,行仁里,"19-24鄰"
0540,行仁里,"25-31鄰"
0541,行孝里,"1-6鄰"
0542,行孝里,"7-11鄰"
0543,行孝里,"12-16鄰"
0544,下埤里,"1-4鄰"
0545,下埤里,"5-8鄰"
0546,下埤里,"9-12鄰"
0547,下埤里,"13-15,20-21鄰"
0548,下埤里,"16-19鄰"
0549,江寧里,"1-6鄰"
0550,江寧里,"7-10鄰"
0551,江寧里,"11-16鄰"
0552,江寧里,"17-21鄰"
0553,江寧里,"22-24鄰"
0554,江山里,"1-3,25-26鄰"
0555,江山里,"5-9鄰"
0556,江山里,"11-14,17鄰"
0557,江山里,"10,18-21鄰"
0558,江山里,"4,15-16,22-24鄰"
0559,中吉里,"1-6鄰"
0560,中吉里,"7-11鄰"
0561,中吉里,"12-17鄰"
0562,中吉里,"18-24鄰"
0563,中原里,"1-5鄰"
0564,中原里,"6-9鄰"
0565,中原里,"10-13,16鄰"
0566,中原里,"14,15,17,18鄰"
0567,興亞里,"1-6鄰"
0568,興亞里,"7-12,20鄰"
0569,興亞里,"13-18鄰"
0570,興亞里,"19,21-24鄰"
0571,中央里,"3-6鄰"
0572,中央里,"7-13鄰"
0573,中央里,"1-2,14-17鄰"
0574,朱馥里,"1-8鄰"
0575,朱馥里,"9-15鄰"
0576,朱馥里,"16-21鄰"
0577,朱馥里,"22-27鄰"
0578,龍洲里,"1-4,9鄰"
0579,龍洲里,"5-8,10-11,15鄰"
0580,龍洲里,"12-14,17-21鄰"
0581,龍洲里,"16,22-28鄰"
0582,朱園里,"1-7鄰"
0583,朱園里,"8-16鄰"
0584,朱園里,"17-23鄰"
0585,埤頭里,"5,7-12鄰"
0586,埤頭里,"1-4,6鄰"
0587,埤頭里,"13-17鄰"
0588,朱崙里,"1-8,12鄰"
0589,朱崙里,"9-11,13-16鄰"
0590,力行里,"1-6,16,30鄰"
0591,力行里,"7-12鄰"
0592,力行里,"13-15,17-21鄰"
0593,力行里,"22-29鄰"
0594,復華里,"1-9鄰"
0595,復華里,"10-16鄰"
0596,復華里,"17-24鄰"
