臺北市 內湖區 投開票所,其他,高嘉瑜,李彥秀
西湖里_1_2_3_4_5_6,0.26262626262626265,1.0,0.8813131313131313
西湖里_7_8_9_10_11_12,0.29333333333333333,0.9946666666666667,1.0
西湖里_13_14_15_16_17_18_19,0.294811320754717,1.0,0.8113207547169812
西湖里_20_21_22_23_24_25_26,0.28846153846153844,0.9399038461538461,1.0
西湖里_27_28_29_30_31_32_33,0.2762312633832976,0.7301927194860813,1.0
西康里_1_2_4_5_27,0.2917647058823529,1.0,0.9905882352941177
西康里_7_8_9_10_11,0.28346456692913385,0.8031496062992126,1.0
西康里_6_14_18,0.2550607287449393,0.8582995951417004,1.0
西康里_3_12_13_15_16,0.2742616033755274,0.8945147679324894,1.0
西康里_17_19_25_26,0.20824295010845986,0.8026030368763557,1.0
西康里_20_21_22_23_24,0.16666666666666666,0.48717948717948717,1.0
西安里_1_2_3_4_5_6_7_8_9,0.22709163346613545,0.7071713147410359,1.0
西安里_10_11_12_13_14,0.23121387283236994,0.766859344894027,1.0
西安里_15_16_17_18_19,0.341991341991342,0.9112554112554112,1.0
西安里_20_21_22_23,0.23175182481751824,0.7828467153284672,1.0
港墘里_1_2_3_4_19_22,0.24407582938388625,0.9786729857819905,1.0
港墘里_7_8_9_10_11,0.26506024096385544,0.763855421686747,1.0
港墘里_15_16_17_18_21,0.2588495575221239,1.0,0.9469026548672567
港墘里_5_6_12_13_14_20,0.3155339805825243,0.9611650485436893,1.0
港都里_1_2_3_4_5,0.252465483234714,0.9901380670611439,1.0
港都里_6_7_8_9_14,0.2985971943887776,1.0,0.9719438877755511
港都里_10_11_12_13,0.3533190578158458,1.0,0.8907922912205567
港富里_1_2_3_4_5,0.26558891454965355,1.0,0.8983833718244804
港富里_6_7_8_9_10,0.2946058091286307,1.0,0.91701244813278
港富里_12_13_14_15_16,0.2980561555075594,0.8444924406047516,1.0
港富里_11_17_18_19_20,0.29723991507430997,0.9830148619957537,1.0
港富里_21_22_23_24_25,0.31382978723404253,0.9175531914893617,1.0
港富里_26_27_28_29_30,0.27249357326478146,0.9588688946015425,1.0
港華里_9_17_19_20_21_22,0.279383429672447,0.7745664739884393,1.0
港華里_1_2_10_11_12,0.22684310018903592,0.8790170132325141,1.0
港華里_5_6_7_8,0.25301204819277107,0.9397590361445783,1.0
港華里_3_14_15_16_18,0.26848249027237353,1.0,0.8521400778210116
港華里_4_13_23_24_25,0.3269961977186312,1.0,0.8688212927756654
內湖里_1_2_3_4_5_7,0.28663793103448276,0.915948275862069,1.0
內湖里_6_8_10_19_23,0.2039911308203991,0.8758314855875832,1.0
內湖里_9_11_15_18_20_21,0.22920517560073936,0.6728280961182994,1.0
內湖里_12_13_14_16_17_22_24_25,0.2849056603773585,0.6320754716981132,1.0
湖濱里_27_28_29_32_33_34,0.2482638888888889,0.7760416666666666,1.0
湖濱里_1_2_3_4_5_6,0.21525423728813559,0.6983050847457627,1.0
湖濱里_9_21_22_23_24_25_26_30_31,0.28028933092224234,0.8661844484629295,1.0
湖濱里_10_11_12_13_14_19_20,0.19858156028368795,0.5638297872340425,1.0
湖濱里_7_8_15_16_17_18,0.21359223300970873,0.7063106796116505,1.0
紫星里_1_3_9_13_14_15_16_17,0.38596491228070173,0.918859649122807,1.0
紫星里_2_4_6_7_12_18_19,0.23684210526315788,0.8947368421052632,1.0
紫星里_20_21_22_24_25_26_27_35,0.3054298642533937,1.0,0.9886877828054299
紫星里_28_29_30_31_32_33_34,0.3287037037037037,0.9004629629629629,1.0
紫星里_5_8_10_11_23_36_37_38_39,0.27901785714285715,0.9196428571428571,1.0
大湖里_7_8_9_10_11_12_13,0.26407766990291265,0.8058252427184466,1.0
大湖里_14_15_16_17_18_19_20_21_22,0.22968197879858657,0.7756183745583038,1.0
大湖里_1_2_3_4_5_6_23_24_25,0.2636363636363636,0.7254545454545455,1.0
金龍里_1_2_3_4_5_6_7,0.22791519434628976,0.803886925795053,1.0
金龍里_8_9_10_11_12_13_14,0.3089430894308943,0.8028455284552846,1.0
金龍里_15_16_17_18_19_20_21_22_23,0.2571428571428571,0.9238095238095239,1.0
金瑞里_1_2_3_4_5_6,0.27956989247311825,1.0,0.9419354838709677
金瑞里_7_8_9_23_24,0.25328330206378985,0.8348968105065666,1.0
金瑞里_10_11_12_13_14_15_22,0.25721153846153844,0.9615384615384616,1.0
金瑞里_16_17_18_19_20_21,0.27756653992395436,0.8231939163498099,1.0
碧山里_1_2_3,0.2356687898089172,1.0,0.5605095541401274
碧山里_4_5_6_7_8_10,0.2597864768683274,0.7259786476868327,1.0
碧山里_9_11_12_13_14,0.23540489642184556,0.7250470809792844,1.0
碧山里_15_16_17_18_19,0.2799043062200957,0.9043062200956937,1.0
碧山里_20_21_22_23_24,0.25925925925925924,0.7695473251028807,1.0
紫雲里_1_2_4_7_13_19,0.31490384615384615,0.9158653846153846,1.0
紫雲里_10_14_17_18,0.21271929824561403,0.5394736842105263,1.0
紫雲里_8_9_11_12_15_16_23,0.16279069767441862,0.5835095137420718,1.0
紫雲里_3_5_6_20_21_22,0.23044397463002114,0.7061310782241015,1.0
清白里_2_3_4_6_7_8_31,0.23550087873462214,0.70298769771529,1.0
清白里_5_9_10_13_25_30,0.26750448833034113,0.7755834829443446,1.0
清白里_24_26_27_28_29_32,0.25120772946859904,0.6457326892109501,1.0
清白里_15_16_17_18_19_20_22,0.3095823095823096,0.9287469287469288,1.0
清白里_1_11_12_14_21_23,0.23270440251572327,0.8742138364779874,1.0
葫洲里_1_2_3_4_8,0.24953445065176907,0.7132216014897579,1.0
葫洲里_5_6_7_9_10_11,0.23508137432188064,0.7631103074141049,1.0
葫洲里_12_13_14_15,0.23625254582484725,0.9266802443991853,1.0
葫洲里_16_17_18_19_20,0.18181818181818182,0.7308377896613191,1.0
紫陽里_2_11_13_18,0.2465437788018433,0.8963133640552995,1.0
紫陽里_1_12_14_15,0.2481060606060606,0.8428030303030303,1.0
紫陽里_3_9_16_17,0.35201793721973096,0.968609865470852,1.0
紫陽里_4_6_7_8_10_22,0.24953445065176907,0.7932960893854749,1.0
紫陽里_5_19_20_21,0.2538167938931298,0.7938931297709924,1.0
瑞陽里_2_3_4_7_12_15_22,0.15538461538461537,0.5338461538461539,1.0
瑞陽里_18_19_25_26_27_28,0.20857699805068225,0.7387914230019493,1.0
瑞陽里_6_8_9_10,0.22593320235756384,0.6227897838899804,1.0
瑞陽里_11_16_17_20_21_23,0.270935960591133,0.9384236453201971,1.0
瑞陽里_1_5_13_14_24,0.1,0.42063492063492064,1.0
瑞光里_1_2_3_4_5_6_7,0.2625,0.8395833333333333,1.0
瑞光里_8_9_10_11_12_13,0.21161825726141079,0.6348547717842323,1.0
瑞光里_14_15_16_17_18_19_20,0.17748091603053434,0.5477099236641222,1.0
五分里_1_2_19_26_27_28_29,0.2751677852348993,1.0,0.9574944071588367
五分里_20_21_23_24_25_32,0.23265306122448978,0.7836734693877551,1.0
五分里_14_15_16_17_18_31,0.271523178807947,1.0,0.8543046357615894
五分里_4_5_6_10_30_34,0.319910514541387,1.0,0.9642058165548099
五分里_7_9_22_33,0.3004201680672269,0.9684873949579832,1.0
五分里_3_8_11_12_13,0.25,1.0,0.9224137931034483
東湖里_1_2_3_4,0.2634989200863931,1.0,0.8876889848812095
東湖里_5_6_7_8,0.34120734908136485,0.9238845144356955,1.0
東湖里_9_10_11_12,0.2595936794582393,1.0,0.9029345372460497
東湖里_13_14_15_16,0.26195426195426197,0.9417879417879418,1.0
東湖里_17_18_19_20,0.2184873949579832,1.0,0.9957983193277311
樂康里_1_2_3_4_26,0.3052391799544419,0.9179954441913439,1.0
樂康里_5_6_7_8,0.23373493975903614,1.0,0.9590361445783132
樂康里_9_10_11_12_13,0.2849740932642487,0.9559585492227979,1.0
樂康里_14_15_16_17_18_19_20,0.23605150214592274,1.0,0.8218884120171673
樂康里_21_22_23_24_25,0.33421750663129973,0.9893899204244032,1.0
內溝里_12_13_14_15,0.2779220779220779,0.9324675324675324,1.0
內溝里_6_8_16,0.23759791122715404,0.8877284595300261,1.0
內溝里_1_11_17,0.27247191011235955,0.7865168539325843,1.0
內溝里_2_3_4_5_7_9_10,0.1746031746031746,1.0,0.7103174603174603
週美里_1_2_3_4,0.29694323144104806,1.0,0.8646288209606987
週美里_5_6_7_8_9_10,0.22137404580152673,0.898854961832061,1.0
週美里_11_12_13_14_15_16,0.2680652680652681,0.9976689976689976,1.0
週美里_17_18_19_20_21_22_23,0.21036106750392464,0.7723704866562009,1.0
週美里_24_25_26_27_28_29_30,0.2286634460547504,0.748792270531401,1.0
行善里_1_2_3_4_5_6,0.24253731343283583,1.0,0.6940298507462687
行善里_7_8_9_10_11_12_13,0.28936170212765955,1.0,1.0
行善里_14_15_16_17,0.20854700854700856,0.7094017094017094,1.0
行善里_18_19_20_21_22,0.29259896729776247,0.7900172117039587,1.0
石潭里_12_14_15_16_17_18_19_20,0.24561403508771928,0.9473684210526315,1.0
石潭里_1_2_3_4_5_6_7_8_9_10,0.2691552062868369,0.6267190569744597,1.0
石潭里_11_13,0.28634361233480177,0.8898678414096917,1.0
湖興里_1_2_3_4_22_23_24_25,0.24947589098532494,0.9266247379454927,1.0
湖興里_5_6_7_8_9_10_11,0.29838709677419356,0.7548387096774194,1.0
湖興里_12_13_14_15,0.21682242990654205,0.8467289719626169,1.0
湖興里_16_17_18_19_20_21,0.3752711496746204,1.0,0.982646420824295
湖元里_1_2_3_4_5_6_7_8_9,0.2857142857142857,0.8860544217687075,1.0
湖元里_10_11_12_13_14_15_16_17_19,0.2622673434856176,1.0,0.9678510998307953
湖元里_18_20,0.31208053691275167,1.0,0.8288590604026845
安湖里_1_2_3,0.33035714285714285,1.0,0.9970238095238095
安湖里_4_5_6_7,0.3393316195372751,1.0,0.9948586118251928
安湖里_8_9_10_11,0.2665036674816626,1.0,0.8753056234718827
安湖里_12_13_14_15_16,0.257201646090535,0.808641975308642,1.0
安湖里_17_18_19_20,0.24288840262582057,1.0,0.925601750547046
秀湖里_2_3_4_5_6_9_20_25,0.226890756302521,0.7626050420168067,1.0
秀湖里_8_10_11_12_15_16_22,0.25162689804772237,0.8741865509761388,1.0
秀湖里_13_14_17_19_24,0.1669626998223801,0.5293072824156305,1.0
秀湖里_1_7_18_21_23,0.2578740157480315,0.6279527559055118,1.0
安泰里_1_2_3_4_15,0.27107061503416857,0.9658314350797267,1.0
安泰里_5_6_7_8_9,0.1977818853974122,0.8373382624768947,1.0
安泰里_10_11_12_13_14,0.27007299270072993,0.7992700729927007,1.0
金湖里_1_2_3_4_5,0.25405405405405407,0.8450450450450451,1.0
金湖里_6_7_8_9_20,0.21207177814029363,0.6574225122349103,1.0
金湖里_10_11_12_13_19,0.2600349040139616,0.7696335078534031,1.0
金湖里_14_15_16_17,0.2576271186440678,0.7728813559322034,1.0
金湖里_18_21_22_23_24_25_26,0.2260596546310832,0.7111459968602826,1.0
康寧里_1_2_3_4_14,0.27419354838709675,0.7419354838709677,1.0
康寧里_5_6_15_16_23,0.2923076923076923,0.832967032967033,1.0
康寧里_7_8_10_11,0.2897959183673469,0.9428571428571428,1.0
康寧里_12_17_18_22,0.2671081677704194,0.7792494481236203,1.0
康寧里_9_13_19_20_21,0.24813432835820895,0.8899253731343284,1.0
明湖里_1_2_3_4_5_6_7,0.2809734513274336,0.9911504424778761,1.0
明湖里_8_9_10_11_13_14_15,0.2572614107883817,1.0,0.9605809128630706
明湖里_12_16_17_18_19_20,0.3030927835051546,0.911340206185567,1.0
蘆洲里_1_2_3_4_5,0.2523076923076923,0.8553846153846154,1.0
麗山里_1_2_3_4_5,0.29978586723768735,1.0,0.7580299785867237
麗山里_6_7_8_9,0.2741514360313316,0.9242819843342036,1.0
麗山里_10_11_12_13,0.3062645011600928,1.0,0.8979118329466357
麗山里_14_15_16,0.24479166666666666,0.9583333333333334,1.0
寶湖里_1_2_3_4_5_6,0.1966205837173579,0.6559139784946236,1.0
寶湖里_7_8_9_10_11,0.26798561151079137,0.7589928057553957,1.0
寶湖里_12_13_14_15_16_17,0.20973154362416108,0.6661073825503355,1.0
寶湖里_18_19_20_21_22_23,0.2859450726978998,0.7043618739903069,1.0
寶湖里_24_25_26_27_28_29,0.2513089005235602,0.837696335078534,1.0
南湖里_1_2_3_11,0.24100719424460432,0.8453237410071942,1.0
南湖里_4_5_8,0.2075134168157424,0.7674418604651163,1.0
南湖里_6_7_9_10,0.2548262548262548,0.8571428571428571,1.0
